id,name,isParent,dbcode,pid,categories
A01,价格指数,TRUE,hgyd,,月度数据
A02,工业,TRUE,hgyd,,月度数据
A03,能源,TRUE,hgyd,,月度数据
A04,固定资产投资(不含农户),TRUE,hgyd,,月度数据
A05,服务业生产指数,TRUE,hgyd,,月度数据
A06,房地产,TRUE,hgyd,,月度数据
A07,国内贸易,TRUE,hgyd,,月度数据
A08,对外经济,TRUE,hgyd,,月度数据
A09,交通运输,TRUE,hgyd,,月度数据
A0A,邮电通信,TRUE,hgyd,,月度数据
A0B,采购经理指数,TRUE,hgyd,,月度数据
A0C,财政,TRUE,hgyd,,月度数据
A0D,金融,TRUE,hgyd,,月度数据
A0D01,货币供应量,FALSE,hgyd,A0D,月度数据
A0C01,国家财政预算收入,FALSE,hgyd,A0C,月度数据
A0C02,国家财政预算支出,FALSE,hgyd,A0C,月度数据
A0B01,制造业采购经理指数,FALSE,hgyd,A0B,月度数据
A0B02,非制造业采购经理指数,FALSE,hgyd,A0B,月度数据
A0B03,综合PMI产出指数,FALSE,hgyd,A0B,月度数据
A0A01,邮电业务总量,FALSE,hgyd,A0A,月度数据
A0A02,邮电业务收入,FALSE,hgyd,A0A,月度数据
A0A03,邮政业务量,FALSE,hgyd,A0A,月度数据
A0A04,电信业务量,FALSE,hgyd,A0A,月度数据
A0A05,软件业务收入,FALSE,hgyd,A0A,月度数据
A0901,货物运输量,FALSE,hgyd,A09,月度数据
A0902,货物周转量,FALSE,hgyd,A09,月度数据
A0903,旅客运输量,FALSE,hgyd,A09,月度数据
A0904,旅客周转量,FALSE,hgyd,A09,月度数据
A0905,规模以上港口吞吐量,FALSE,hgyd,A09,月度数据
A0801,进出口总额,FALSE,hgyd,A08,月度数据
A0802,外商直接投资,FALSE,hgyd,A08,月度数据
A0701,社会消费品零售总额,FALSE,hgyd,A07,月度数据
A0702,按经营地分社会消费品零售总额,FALSE,hgyd,A07,月度数据
A0703,按消费类型分社会消费品零售总额,FALSE,hgyd,A07,月度数据
A0704,限上单位商品零售类值,TRUE,hgyd,A07,月度数据
A0705,限额以上住宿和餐饮业经营情况(-2009),FALSE,hgyd,A07,月度数据
A0706,网上零售额,FALSE,hgyd,A07,月度数据
A070401,粮油、食品、饮料、烟酒类,FALSE,hgyd,A0704,月度数据
A070402,服装鞋帽、针、纺织品类,FALSE,hgyd,A0704,月度数据
A070403,化妆品类,FALSE,hgyd,A0704,月度数据
A070404,金银珠宝类,FALSE,hgyd,A0704,月度数据
A070405,日用品类,FALSE,hgyd,A0704,月度数据
A070406,体育、娱乐用品类,FALSE,hgyd,A0704,月度数据
A070407,书报杂志类,FALSE,hgyd,A0704,月度数据
A070408,家用电器和音像器材类,FALSE,hgyd,A0704,月度数据
A070409,中西药品类,FALSE,hgyd,A0704,月度数据
A07040A,文化办公用品类,FALSE,hgyd,A0704,月度数据
A07040B,家具类,FALSE,hgyd,A0704,月度数据
A07040C,通讯器材类,FALSE,hgyd,A0704,月度数据
A07040D,石油及制品类,FALSE,hgyd,A0704,月度数据
A07040E,建筑及装潢材料类,FALSE,hgyd,A0704,月度数据
A07040F,汽车类,FALSE,hgyd,A0704,月度数据
A07040G,其他,FALSE,hgyd,A0704,月度数据
A0601,房地产开发投资情况,FALSE,hgyd,A06,月度数据
A0602,房地产开发投资实际到位资金,FALSE,hgyd,A06,月度数据
A0603,房地产土地开发与销售情况,FALSE,hgyd,A06,月度数据
A0604,房地产施工、竣工面积,FALSE,hgyd,A06,月度数据
A0605,商品住宅施工、竣工面积,FALSE,hgyd,A06,月度数据
A0606,办公楼施工、竣工面积,FALSE,hgyd,A06,月度数据
A0607,商业营业用房施工、竣工面积,FALSE,hgyd,A06,月度数据
A0608,商品房销售面积,FALSE,hgyd,A06,月度数据
A0609,商品房销售额,FALSE,hgyd,A06,月度数据
A060A,商品住宅销售面积,FALSE,hgyd,A06,月度数据
A060B,商品住宅销售额,FALSE,hgyd,A06,月度数据
A060C,办公楼销售面积,FALSE,hgyd,A06,月度数据
A060D,办公楼销售额,FALSE,hgyd,A06,月度数据
A060E,商业营业用房销售面积,FALSE,hgyd,A06,月度数据
A060F,商业营业用房销售额,FALSE,hgyd,A06,月度数据
A0501,服务业生产指数,FALSE,hgyd,A05,月度数据
A0401,固定资产投资情况,FALSE,hgyd,A04,月度数据
A0402,按计划管理渠道分固定资产投资,FALSE,hgyd,A04,月度数据
A0403,固定资产投资资金来源情况,FALSE,hgyd,A04,月度数据
A0404,按行业分固定资产投资情况(1998-2003),TRUE,hgyd,A04,月度数据
A0405,分行业固定资产投资情况(2004-2011),TRUE,hgyd,A04,月度数据
A0406,分行业固定资产投资情况(2012-2017),TRUE,hgyd,A04,月度数据
A0407,分行业固定资产投资情况(2018-至今),TRUE,hgyd,A04,月度数据
A0408,按登记注册类型分的固定资产投资情况,FALSE,hgyd,A04,月度数据
A0409,固定资产投资住宅建设情况,FALSE,hgyd,A04,月度数据
A040A,固定资产投资项目情况,FALSE,hgyd,A04,月度数据
A040B,固定资产投资项目计划总投资,FALSE,hgyd,A04,月度数据
A040C,民间固定资产投资,FALSE,hgyd,A04,月度数据
